Title,Message
Welcome,"Hello. I will be helping you with your mock calls today. To get started, please respond to the direct message I sent you. You can locate your Direct Messages in the Top, lefthand corner of Discord. I will then call you on Discord. Below you will find instructions on how to join the call. Once we are connected on the audio call, I will give you instructions to share your screen, ok? https://gyazo.com/64ebbf56abfa200efe8694e185f15ba6"
Out of Time (Needs Sup),Our time has come to an end for this shift. We will need to schedule a time to meet again to complete your Supervisor Transfers. You will not need to schedule anything on your end. Please give me one moment to check availability.
Sup Intro,"Hello! I'll be helping you complete the Supervisor Transfer test call to complete your Certification. I'll provide the next instructions a step at a time, please acknowledge as we go so we can make sure all is ready for the Supervisor Transfer call. OK?"
Sup Intro Alt,"Okay, now that you've finished your mock calls, I'll assist you in completing the Supervisor Transfer test call to finalize your certification. We've already ensured you're signed out of Playground, signed into Simple Script, and logged into DTE. I will now provide the next steps, one at a time. Please acknowledge each step so we can confirm everything is ready for the Supervisor Transfer call, ok?"
Sup-Logout of Playground,"Please log out of the Playground (if you're logged in), the log out is in the upper right corner, once logged out go ahead and close that window. -let me know when that’s done please."
Sup-Launch Simple Script,"Next, let's go ahead and next launch Simple Script. Please make sure you are logging in on Simple Script from the External Services menu with your *Gateway Username and password* (example: first.last or first.initial) - if you are logged in using your email you will need to log out and enter the correct login credentials. Do not click on anything within the Simple Script window please.

-Let me know when you have that set please"
Sup-Launch DTE #1,"Next, Please Launch Call Corp DTE from your Desktop (bottom task bar). https://gyazo.com/6265bf871817789537c8e640e54893b6     -Let me know when that's done please"
Sup-Launch DTE #2,"Next, you may be met with a small pop-up box to Allow DTE permission to load. Please Click the BLUE “Allow” option. And DTE will then load. https://gyazo.com/f05aaeecb5905945adc60c1411980e76"
Sup-Launch DTE #3,"You may also receive another small pop-up box in the browser window to allow permission. Please click the always allow button, and click Open Desktop Experience. https://gyazo.com/3f940700dd6ee0bf15bba4c60179dcaa     Let me know when that’s done please."
Sup-Launch DTE #4,"Next, Call Corp DTE will prompt you to choose a Profile Option. Please Choose “PRIMARY”. https://gyazo.com/3c93129bd587ea2f016071b8ddb6aa72     Let me know when you are there please."
